run,prompt_template,reward_fn,grpo_step,loss,grad_norm,token_entropy,train_answer_accuracy,train_format_accuracy
r1_zero_reference,cs336_alignment/prompts/r1_zero.prompt,r1_zero,1,-0.007478122046450153,0.263671875,0.923675537109375,0.015625,0.1796875
r1_zero_reference,cs336_alignment/prompts/r1_zero.prompt,r1_zero,2,-0.04090298879600596,1.7265625,0.3959197998046875,0.2109375,0.78125
r1_zero_reference,cs336_alignment/prompts/r1_zero.prompt,r1_zero,3,-0.012850863538915291,1.8984375,0.2418365478515625,0.30859375,0.765625
r1_zero_reference,cs336_alignment/prompts/r1_zero.prompt,r1_zero,4,-0.0279774360024021,1.34375,0.2631874084472656,0.3046875,0.83203125
r1_zero_reference,cs336_alignment/prompts/r1_zero.prompt,r1_zero,5,-0.01564000658254372,0.95703125,0.25102996826171875,0.28515625,0.87109375
r1_zero_reference,cs336_alignment/prompts/r1_zero.prompt,r1_zero,6,-0.003059819260670338,0.83203125,0.29869842529296875,0.27734375,0.85546875
r1_zero_reference,cs336_alignment/prompts/r1_zero.prompt,r1_zero,7,-0.025119628102402203,0.91015625,0.30651092529296875,0.3828125,0.85546875
r1_zero_reference,cs336_alignment/prompts/r1_zero.prompt,r1_zero,8,-0.015067455649841577,0.80078125,0.30216217041015625,0.3359375,0.9140625
r1_zero_reference,cs336_alignment/prompts/r1_zero.prompt,r1_zero,9,-0.015654136579541955,0.7734375,0.2726402282714844,0.3828125,0.9296875
r1_zero_reference,cs336_alignment/prompts/r1_zero.prompt,r1_zero,10,-0.029345786955673248,1.0234375,0.2892570495605469,0.38671875,0.9453125
r1_zero_reference,cs336_alignment/prompts/r1_zero.prompt,r1_zero,11,-0.015246818453306332,1.1796875,0.20987701416015625,0.3671875,0.953125
r1_zero_reference,cs336_alignment/prompts/r1_zero.prompt,r1_zero,12,-0.013161672701244242,0.78515625,0.17969894409179688,0.41796875,0.9296875
r1_zero_reference,cs336_alignment/prompts/r1_zero.prompt,r1_zero,13,-0.005954450156423263,0.94921875,0.1385211944580078,0.4453125,0.90625
r1_zero_reference,cs336_alignment/prompts/r1_zero.prompt,r1_zero,14,-0.02317702895743423,1.0625,0.1614208221435547,0.4375,0.92578125
r1_zero_reference,cs336_alignment/prompts/r1_zero.prompt,r1_zero,15,-0.0038449128551292233,0.77734375,0.16402149200439453,0.35546875,0.96484375
r1_zero_reference,cs336_alignment/prompts/r1_zero.prompt,r1_zero,16,-0.011482541292934911,1.2265625,0.13689804077148438,0.40625,0.94140625
r1_zero_reference,cs336_alignment/prompts/r1_zero.prompt,r1_zero,17,-0.004583211521094199,0.81640625,0.13710975646972656,0.4140625,0.953125
r1_zero_reference,cs336_alignment/prompts/r1_zero.prompt,r1_zero,18,-0.008378751372219995,1.0078125,0.16572189331054688,0.453125,0.93359375
r1_zero_reference,cs336_alignment/prompts/r1_zero.prompt,r1_zero,19,-0.011153622672281926,0.6640625,0.13896942138671875,0.61328125,0.921875
r1_zero_reference,cs336_alignment/prompts/r1_zero.prompt,r1_zero,20,-0.007310843204322737,0.466796875,0.1278553009033203,0.49609375,0.921875
r1_zero_reference,cs336_alignment/prompts/r1_zero.prompt,r1_zero,21,-0.007784363810060313,0.6015625,0.1424236297607422,0.48828125,0.90625
r1_zero_reference,cs336_alignment/prompts/r1_zero.prompt,r1_zero,22,-0.003949632104195189,0.466796875,0.1406230926513672,0.51171875,0.8984375
r1_zero_reference,cs336_alignment/prompts/r1_zero.prompt,r1_zero,23,-0.005360956271942996,0.369140625,0.12769699096679688,0.5859375,0.9140625
r1_zero_reference,cs336_alignment/prompts/r1_zero.prompt,r1_zero,24,-0.005764754932897631,0.447265625,0.12030410766601562,0.55078125,0.9375
r1_zero_reference,cs336_alignment/prompts/r1_zero.prompt,r1_zero,25,-0.011011522077751579,0.318359375,0.1250457763671875,0.59765625,0.92578125
r1_zero_reference,cs336_alignment/prompts/r1_zero.prompt,r1_zero,26,-0.008596498464612523,0.2412109375,0.13929367065429688,0.61328125,0.9140625
r1_zero_reference,cs336_alignment/prompts/r1_zero.prompt,r1_zero,27,-0.00443628064749646,0.279296875,0.11414909362792969,0.62890625,0.93359375
r1_zero_reference,cs336_alignment/prompts/r1_zero.prompt,r1_zero,28,-0.0030745065269002225,0.361328125,0.12334251403808594,0.63671875,0.890625
r1_zero_reference,cs336_alignment/prompts/r1_zero.prompt,r1_zero,29,-0.008869787605362944,0.423828125,0.11585235595703125,0.59765625,0.90234375
r1_zero_reference,cs336_alignment/prompts/r1_zero.prompt,r1_zero,30,-0.0023500851239077747,0.2373046875,0.11034107208251953,0.59765625,0.87890625
r1_zero_reference,cs336_alignment/prompts/r1_zero.prompt,r1_zero,31,-0.003312610764623969,0.25,0.12013816833496094,0.66015625,0.91015625
r1_zero_reference,cs336_alignment/prompts/r1_zero.prompt,r1_zero,32,0.0025084501448873198,0.21875,0.12280082702636719,0.69921875,0.9375
r1_zero_reference,cs336_alignment/prompts/r1_zero.prompt,r1_zero,33,-0.007217235939606326,0.37109375,0.12548446655273438,0.625,0.94921875
r1_zero_reference,cs336_alignment/prompts/r1_zero.prompt,r1_zero,34,-0.004618408616806846,0.205078125,0.1461048126220703,0.60546875,0.8828125
r1_zero_reference,cs336_alignment/prompts/r1_zero.prompt,r1_zero,35,-0.010862971750611905,0.2578125,0.14098644256591797,0.6015625,0.9375
r1_zero_reference,cs336_alignment/prompts/r1_zero.prompt,r1_zero,36,-0.006425730029150145,0.2080078125,0.14603042602539062,0.5078125,0.91796875
r1_zero_reference,cs336_alignment/prompts/r1_zero.prompt,r1_zero,37,-0.0011218741128686816,0.263671875,0.13605308532714844,0.69140625,0.93359375
r1_zero_reference,cs336_alignment/prompts/r1_zero.prompt,r1_zero,38,-0.0077062227501301095,0.25,0.15274810791015625,0.65234375,0.9140625
r1_zero_reference,cs336_alignment/prompts/r1_zero.prompt,r1_zero,39,-0.0038835827144794166,0.201171875,0.11304092407226562,0.73046875,0.92578125
r1_zero_reference,cs336_alignment/prompts/r1_zero.prompt,r1_zero,40,-0.003566579460311914,0.5625,0.14833831787109375,0.6171875,0.9140625
r1_zero_reference,cs336_alignment/prompts/r1_zero.prompt,r1_zero,41,-0.003497599776892457,0.42578125,0.11393165588378906,0.70703125,0.95703125
r1_zero_reference,cs336_alignment/prompts/r1_zero.prompt,r1_zero,42,-0.006737460960721364,0.2021484375,0.1170358657836914,0.66796875,0.93359375
r1_zero_reference,cs336_alignment/prompts/r1_zero.prompt,r1_zero,43,-0.003558556167263305,0.189453125,0.08796024322509766,0.70703125,0.921875
r1_zero_reference,cs336_alignment/prompts/r1_zero.prompt,r1_zero,44,-0.0008009708762983792,0.197265625,0.10083580017089844,0.609375,0.9140625
r1_zero_reference,cs336_alignment/prompts/r1_zero.prompt,r1_zero,45,-0.0037074230785947293,0.30859375,0.0898752212524414,0.56640625,0.9296875
r1_zero_reference,cs336_alignment/prompts/r1_zero.prompt,r1_zero,46,-0.0026682077077566646,0.2236328125,0.08523178100585938,0.57421875,0.859375
r1_zero_reference,cs336_alignment/prompts/r1_zero.prompt,r1_zero,47,-0.0029613935039378703,0.205078125,0.07052803039550781,0.76171875,0.96875
r1_zero_reference,cs336_alignment/prompts/r1_zero.prompt,r1_zero,48,-0.000859023737575626,0.2470703125,0.058081626892089844,0.6484375,0.90625
r1_zero_reference,cs336_alignment/prompts/r1_zero.prompt,r1_zero,49,-0.002555724766352796,0.275390625,0.050055503845214844,0.68359375,0.97265625
r1_zero_reference,cs336_alignment/prompts/r1_zero.prompt,r1_zero,50,-0.00450283320788003,0.208984375,0.055809974670410156,0.7421875,0.9453125
r1_zero_reference,cs336_alignment/prompts/r1_zero.prompt,r1_zero,51,-0.0016673892741891905,0.1591796875,0.04726696014404297,0.78125,0.9375
